Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Hero","Mariah Carey","Music Box","Favorite Songs","Favorite","USSM19303171","4FCb4CUbFCMNRkI6lYc1zI"
"Three Little Birds","Bob Marley & The Wailers","Exodus","Favorite Songs","Favorite","GBAAN7790001","1P49MJhU5vzttesFxw3dOM"
"Take Me Home, Country Roads - Rerecorded","John Denver","The John Denver Collection, Vol. 1: Take Me Home Country Roads","Favorite Songs","Favorite","USA370529726","2xYlyywNgefLCRDG8hlxZq"
"The Gambler","Kenny Rogers","The Gambler","Favorite Songs","Favorite","USCN17800055","5KqldkCunQ2rWxruMEtGh0"
"Dance Monkey","Tones And I","Dance Monkey (Stripped Back) / Dance Monkey","Favorite Songs","Favorite","QZES71982312","2XU0oxnq2qxCpomAAuJY8K"
"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")","Bebe Rexha","You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")","Favorite Songs","Favorite","USWB11902193","1i3z3GR1JtLswOSJNO0BQw"
"Unstoppable","Sia","This Is Acting","Favorite Songs","Favorite","USRC11502934","2J2Z1SkXYghSajLibnQHOa"
"Ghariba el Nas","Wael Jassar","Wael Jassar","Favorite Songs","Favorite","USJ3V2086879","5XTaNqz2oFIWSEIeceTmFD"
"Baila Bolero - 7"" Radio Mix","Fun Fun","Double Fun","Favorite Songs","Favorite","IT00D8600602","2NbpsEkwKKh9oH7EtS4xnf"
"Beggin'","Måneskin","Chosen","Favorite Songs","Favorite","ITB001700846","3Wrjm47oTz2sjIgck11l5e"
"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes","The Papercut Chronicles II (Deluxe Edition)","Favorite Songs","Favorite","USAT21101071","4Ljs6Dvpz7Arf9Ac8RN7tn"
"Until I Found You (with Em Beihold) - Em Beihold Version","Stephen Sanchez","Until I Found You (Em Beihold Version)","Favorite Songs","Favorite","USUG12202266","1Y3LN4zO1Edc2EluIoSPJN"
"The Final Countdown","Europe","The Final Countdown (Expanded Edition)","Favorite Songs","Favorite","USSM18600196","3MrRksHupTVEQ7YbA0FsZK"
"Blinding Lights","The Weeknd","After Hours","Favorite Songs","Favorite","USUG11904206","0VjIjW4GlUZAMYd2vXMi3b"
"Believer","Imagine Dragons","Evolve","Favorite Songs","Favorite","USUM71700626","0pqnGHJpmpxLKifKRmU6WP"
"One Kiss (with Dua Lipa)","Calvin Harris","One Kiss (with Dua Lipa)","Favorite Songs","Favorite","GBARL1800368","7ef4DlsgrMEH11cDZd32M6"
"Set Fire to the Rain","Adele","21","Favorite Songs","Favorite","GBBKS1000348","7j4OmvkjRz0PrjFADlHfQx"
"Tourner Dans Le Vide","Indila","Mini World","Favorite Songs","Favorite","FRUM71400047","1MqzIgGsHP4cNjPboevsfq"
"Don't Start Now","Dua Lipa","Future Nostalgia","Favorite Songs","Favorite","GBAHT1901121","3PfIrDoz19wz7qK7tYeu62"
"Treat You Better","Shawn Mendes","Illuminate","Favorite Songs","Favorite","USUM71604711","3QGsuHI8jO1Rx4JWLUh9jd"
"The Nights","Avicii","The Days / Nights","Favorite Songs","Favorite","CH3131340464","0ct6r3EGTcMLPtrXHDvVjc"
"In the Name of Love","Martin Garrix","The Martin Garrix Experience","Favorite Songs","Favorite","NLM5S1600003","0VWUhOUNIVOfUoBaq7xqMo"
"lovely (with Khalid)","Billie Eilish","lovely (with Khalid)","Favorite Songs","Favorite","USUM71804190","0u2P5u6lvoDfwTYjAADbn4"
"Can't Remember to Forget You (feat. Rihanna)","Shakira","Shakira. (Expanded Edition) [Spanish Version]","Favorite Songs","Favorite","USRC11301790","7o1Pm9jpH0wFpN5g793Lnq"
"Those Eyes","New West","Those Eyes","Favorite Songs","Favorite","TCAEE1990215","2GThBgzZoZfz0lx1JjBwfe"
"Human","Rag'n'Bone Man","Human (Deluxe)","Favorite Songs","Favorite","GBARL1600665","58zsLZPvfflaiIbNWoA22O"
"Señorita","Shawn Mendes","Shawn Mendes (Deluxe)","Favorite Songs","Favorite","USUM71911283","6v3KW9xbzN5yKLt9YKDYA2"
